seq,value_ultrasonic,value_matchface,date,time
0,0,-1,2024-11-01,22:24:19
1,0,-1,2024-11-01,22:24:35
2,0,-1,2024-11-01,22:24:50
3,0,-1,2024-11-01,22:25:05
4,0,-1,2024-11-01,22:25:20
5,0,-1,2024-11-01,22:25:35
6,0,-1,2024-11-01,22:25:59
7,0,-1,2024-11-01,22:26:15
8,1,0,2024-11-01,22:26:38
9,0,-1,2024-11-01,22:26:54
10,0,-1,2024-11-01,22:27:10
11,0,0,2024-11-01,22:27:26
12,1,0,2024-11-01,22:27:32
13,0,0,2024-11-01,22:27:37
14,1,0,2024-11-01,22:27:39
15,0,0,2024-11-01,22:27:45
16,0,0,2024-11-01,22:27:51
17,0,0,2024-11-01,22:27:57
18,0,0,2024-11-01,22:28:04
19,0,0,2024-11-01,22:28:10
20,0,0,2024-11-01,22:28:16
21,0,0,2024-11-01,22:28:23
22,0,0,2024-11-01,22:28:29
23,0,0,2024-11-01,22:28:35
24,0,0,2024-11-01,22:28:41
25,0,0,2024-11-01,22:28:48
26,0,0,2024-11-01,22:28:54
27,0,0,2024-11-01,22:29:00
28,0,0,2024-11-01,22:29:07
29,0,0,2024-11-01,22:29:13
30,0,0,2024-11-01,22:29:19
31,0,0,2024-11-01,22:29:25
32,0,0,2024-11-01,22:29:32
33,0,0,2024-11-01,22:29:38
34,0,0,2024-11-01,22:29:44
35,0,0,2024-11-01,22:29:51
36,0,0,2024-11-01,22:29:57
37,0,0,2024-11-01,22:30:03
38,0,0,2024-11-01,22:30:10
39,0,0,2024-11-01,22:30:16
40,0,0,2024-11-01,22:30:22
41,0,0,2024-11-01,22:30:28
42,0,0,2024-11-01,22:30:35
43,0,0,2024-11-01,22:30:41
44,0,0,2024-11-01,22:30:47
45,0,0,2024-11-01,22:30:54
46,0,0,2024-11-01,22:31:00
47,0,0,2024-11-01,22:31:06
48,0,0,2024-11-01,22:31:12
49,0,0,2024-11-01,22:31:19
50,0,0,2024-11-01,22:31:25
51,0,0,2024-11-01,22:31:31
52,0,0,2024-11-01,22:31:38
53,0,0,2024-11-01,22:31:44
54,0,0,2024-11-01,22:31:50
55,0,0,2024-11-01,22:31:56
56,0,0,2024-11-01,22:32:03
57,0,0,2024-11-01,22:32:09
58,0,0,2024-11-01,22:32:15
59,0,0,2024-11-01,22:32:22
60,0,0,2024-11-01,22:32:28
61,0,0,2024-11-01,22:32:34
62,0,0,2024-11-01,22:32:40
63,0,0,2024-11-01,22:32:47
64,0,0,2024-11-01,22:32:53
65,0,0,2024-11-01,22:32:59
66,0,0,2024-11-01,22:33:05
67,0,0,2024-11-01,22:33:12
68,0,0,2024-11-01,22:33:18
69,0,0,2024-11-01,22:33:24
70,0,0,2024-11-01,22:33:31
71,0,0,2024-11-01,22:33:37
72,0,0,2024-11-01,22:33:43
73,0,0,2024-11-01,22:33:49
74,0,0,2024-11-01,22:33:56
75,0,0,2024-11-01,22:34:02
76,0,0,2024-11-01,22:34:08
77,0,0,2024-11-01,22:34:15
78,0,0,2024-11-01,22:34:21
79,0,0,2024-11-01,22:34:27
80,0,0,2024-11-01,22:34:33
81,0,0,2024-11-01,22:34:40
82,0,0,2024-11-01,22:34:46
83,0,0,2024-11-01,22:34:52
84,0,0,2024-11-01,22:34:59
85,0,0,2024-11-01,22:35:05
86,0,0,2024-11-01,22:35:11
87,0,0,2024-11-01,22:35:17
88,0,0,2024-11-01,22:35:24
89,0,0,2024-11-01,22:35:30
90,0,0,2024-11-01,22:35:36
91,0,0,2024-11-01,22:35:43
92,0,0,2024-11-01,22:35:49
93,0,0,2024-11-01,22:35:55
94,0,0,2024-11-01,22:36:02
95,0,0,2024-11-01,22:36:08
96,0,0,2024-11-01,22:36:14
97,0,0,2024-11-01,22:36:20
98,0,0,2024-11-01,22:36:27
99,1,0,2024-11-01,22:36:33
100,0,0,2024-11-01,22:36:39
101,0,0,2024-11-01,22:36:45
102,0,0,2024-11-01,22:36:52
103,0,0,2024-11-01,22:36:58
104,0,0,2024-11-01,22:37:04
105,0,0,2024-11-01,22:37:11
106,0,0,2024-11-01,22:37:17
107,0,0,2024-11-01,22:37:23
108,0,0,2024-11-01,22:37:29
109,0,0,2024-11-01,22:37:36
110,0,0,2024-11-01,22:37:42
111,1,0,2024-11-01,22:37:48
112,1,0,2024-11-01,22:37:55
113,0,0,2024-11-01,22:38:01
114,0,0,2024-11-01,22:38:07
115,0,0,2024-11-01,22:38:13
116,0,0,2024-11-01,22:38:20
117,0,0,2024-11-01,22:38:26
118,0,0,2024-11-01,22:38:32
119,0,0,2024-11-01,22:38:39
120,0,0,2024-11-01,22:38:45
121,0,0,2024-11-01,22:38:51
122,0,0,2024-11-01,22:38:57
123,1,-1,2024-11-01,22:39:02
124,0,-1,2024-11-01,22:39:10
125,0,-1,2024-11-01,22:39:17
126,1,-1,2024-11-01,22:39:23
127,1,-1,2024-11-01,22:39:29
128,0,-1,2024-11-01,22:39:31
129,1,-1,2024-11-01,22:39:35
130,0,-1,2024-11-01,22:39:42
131,0,-1,2024-11-01,22:39:48
132,0,-1,2024-11-01,22:39:54
133,0,0,2024-11-01,22:40:01
134,0,0,2024-11-01,22:40:07
135,0,0,2024-11-01,22:40:13
136,0,0,2024-11-01,22:40:19
137,0,0,2024-11-01,22:40:26
138,0,0,2024-11-01,22:40:32
139,0,0,2024-11-01,22:40:38
140,1,0,2024-11-01,22:40:45
141,0,0,2024-11-01,22:40:50
142,0,0,2024-11-01,22:40:51
143,1,0,2024-11-01,22:40:58
144,1,-1,2024-11-01,22:41:04
145,1,-1,2024-11-01,22:41:10
146,1,-1,2024-11-01,22:41:19
147,1,-1,2024-11-01,22:41:25
148,0,0,2024-11-01,22:41:32
149,0,0,2024-11-01,22:41:38
150,0,0,2024-11-01,22:41:44
151,0,0,2024-11-01,22:41:56
