seq,created_at,value_ultrasonic,value_matchface
0,2024-11-01 22:24:19+00:00,0,-1
1,2024-11-01 22:24:35+00:00,0,-1
2,2024-11-01 22:24:50+00:00,0,-1
3,2024-11-01 22:25:05+00:00,0,-1
4,2024-11-01 22:25:20+00:00,0,-1
5,2024-11-01 22:25:35+00:00,0,-1
6,2024-11-01 22:25:59+00:00,0,-1
7,2024-11-01 22:26:15+00:00,0,-1
8,2024-11-01 22:26:38+00:00,1,0
9,2024-11-01 22:26:54+00:00,0,-1
10,2024-11-01 22:27:10+00:00,0,-1
11,2024-11-01 22:27:26+00:00,0,0
12,2024-11-01 22:27:32+00:00,1,0
13,2024-11-01 22:27:37+00:00,0,0
14,2024-11-01 22:27:39+00:00,1,0
15,2024-11-01 22:27:45+00:00,0,0
16,2024-11-01 22:27:51+00:00,0,0
17,2024-11-01 22:27:57+00:00,0,0
18,2024-11-01 22:28:04+00:00,0,0
19,2024-11-01 22:28:10+00:00,0,0
20,2024-11-01 22:28:16+00:00,0,0
21,2024-11-01 22:28:23+00:00,0,0
22,2024-11-01 22:28:29+00:00,0,0
23,2024-11-01 22:28:35+00:00,0,0
24,2024-11-01 22:28:41+00:00,0,0
25,2024-11-01 22:28:48+00:00,0,0
26,2024-11-01 22:28:54+00:00,0,0
27,2024-11-01 22:29:00+00:00,0,0
28,2024-11-01 22:29:07+00:00,0,0
29,2024-11-01 22:29:13+00:00,0,0
30,2024-11-01 22:29:19+00:00,0,0
31,2024-11-01 22:29:25+00:00,0,0
32,2024-11-01 22:29:32+00:00,0,0
33,2024-11-01 22:29:38+00:00,0,0
34,2024-11-01 22:29:44+00:00,0,0
35,2024-11-01 22:29:51+00:00,0,0
36,2024-11-01 22:29:57+00:00,0,0
37,2024-11-01 22:30:03+00:00,0,0
38,2024-11-01 22:30:10+00:00,0,0
39,2024-11-01 22:30:16+00:00,0,0
40,2024-11-01 22:30:22+00:00,0,0
41,2024-11-01 22:30:28+00:00,0,0
42,2024-11-01 22:30:35+00:00,0,0
43,2024-11-01 22:30:41+00:00,0,0
44,2024-11-01 22:30:47+00:00,0,0
45,2024-11-01 22:30:54+00:00,0,0
46,2024-11-01 22:31:00+00:00,0,0
47,2024-11-01 22:31:06+00:00,0,0
48,2024-11-01 22:31:12+00:00,0,0
49,2024-11-01 22:31:19+00:00,0,0
50,2024-11-01 22:31:25+00:00,0,0
51,2024-11-01 22:31:31+00:00,0,0
52,2024-11-01 22:31:38+00:00,0,0
53,2024-11-01 22:31:44+00:00,0,0
54,2024-11-01 22:31:50+00:00,0,0
55,2024-11-01 22:31:56+00:00,0,0
56,2024-11-01 22:32:03+00:00,0,0
57,2024-11-01 22:32:09+00:00,0,0
58,2024-11-01 22:32:15+00:00,0,0
59,2024-11-01 22:32:22+00:00,0,0
60,2024-11-01 22:32:28+00:00,0,0
61,2024-11-01 22:32:34+00:00,0,0
62,2024-11-01 22:32:40+00:00,0,0
63,2024-11-01 22:32:47+00:00,0,0
64,2024-11-01 22:32:53+00:00,0,0
65,2024-11-01 22:32:59+00:00,0,0
66,2024-11-01 22:33:05+00:00,0,0
67,2024-11-01 22:33:12+00:00,0,0
68,2024-11-01 22:33:18+00:00,0,0
69,2024-11-01 22:33:24+00:00,0,0
70,2024-11-01 22:33:31+00:00,0,0
71,2024-11-01 22:33:37+00:00,0,0
72,2024-11-01 22:33:43+00:00,0,0
73,2024-11-01 22:33:49+00:00,0,0
74,2024-11-01 22:33:56+00:00,0,0
75,2024-11-01 22:34:02+00:00,0,0
76,2024-11-01 22:34:08+00:00,0,0
77,2024-11-01 22:34:15+00:00,0,0
78,2024-11-01 22:34:21+00:00,0,0
79,2024-11-01 22:34:27+00:00,0,0
80,2024-11-01 22:34:33+00:00,0,0
81,2024-11-01 22:34:40+00:00,0,0
82,2024-11-01 22:34:46+00:00,0,0
83,2024-11-01 22:34:52+00:00,0,0
84,2024-11-01 22:34:59+00:00,0,0
85,2024-11-01 22:35:05+00:00,0,0
86,2024-11-01 22:35:11+00:00,0,0
87,2024-11-01 22:35:17+00:00,0,0
88,2024-11-01 22:35:24+00:00,0,0
89,2024-11-01 22:35:30+00:00,0,0
90,2024-11-01 22:35:36+00:00,0,0
91,2024-11-01 22:35:43+00:00,0,0
